category,reflex_fonts,reflex_styles,reflex_palette_hues,note,reach_for
SaaS,"Space Grotesk;Plus Jakarta Sans;Geist","indigo-on-white restraint;three-feature-card grid;subtle mesh hero","indigo #6366f1;violet #7c3aed","The post-purple ""safe SaaS"" look — indigo just replaced the banned purple gradient. Source the accent from the product's actual job (what it removes friction from), not the category default.","Söhne or ABC Diatype for body, Reckless as a quiet display accent;asymmetric hero with the product's real before/after state floated over the fold, not a centered card row;pull the accent from the specific friction it removes (a ledger's reconcile-green, a calendar's booked-slot color), never default indigo"
Fintech,"Space Grotesk;Clash Display;Inter Tight","emerald-mint gradient;serif-display authority;data-forward dark","emerald #10b981;teal #14b8a6","Emerald/teal became fintech's reflex once navy felt dated; a serif display now signals ""trust"" by rote. Trust reads from visible compliance and precision, not a mint accent — try the brand's literal money/material story.","ABC Diatype Mono for figures, Schibsted Grotesk for headings;data-forward layout where a real reconciliation or ledger view is the hero, compliance marks shown not stated;source color from the literal money/material story — settlement-rail blue, statement-paper ink, the card's actual foil — not reflex emerald"
Banking,"Newsreader;Lora;Source Serif 4","trustworthy-classic serif;deep-navy authority;gold accent","navy #1e3a5f;slate-blue #334e68","Navy + a transitional serif is the autopilot ""bank"" — every legacy institution and neobank lands here. Restraint and clarity carry the trust; let the differentiator be the rate/product clarity, not the navy.","Times-as-display set large and roman, Hanken Grotesk for UI;restraint carried by whitespace and rate clarity, one decisive numeral moment;let the product's own rate sheet or coin metal set the palette, drop the navy-and-gold costume"
Crypto,"Space Mono;Orbitron;Chakra Petch","neon-on-black;futuristic gradient;glow shadows","neon-green #39ff14;electric-purple #a855f7","Black + neon glow is crypto cosplay; skepticism is high and the cliche reads as scam-adjacent. Credibility cues (real numbers, plain language) differentiate more than the glow.","ABC Diatype, GT America Mono reserved for actual hashes;plain-language explainer with real on-chain numbers as the focal artifact, zero glow;take color from the protocol's own brand mark or the asset it settles, not neon-on-black"
E-commerce,"DM Sans;Outfit;Plus Jakarta Sans","bright-playful product grid;rounded-everything;coral-pop accent","coral #ff6b6b;mint #4ecdc4","Coral-and-mint with fully rounded cards is the Shopify-template reflex. Let the product photography set the palette; the UI should recede so goods are the hero.","Editorial New for headers, Hanken Grotesk for UI;product photography as the hero with the UI receding to near-neutral, generous catalog rhythm;let the goods' own photography set every accent — the UI stays paper-and-ink so color comes from the product"
Luxury retail,"Cormorant;Cormorant Garamond;Playfair Display","editorial-elegance serif;monochrome-refined;huge-letterspaced caps","off-black #1a1a1a;cream #f5f1ea","A thin high-contrast serif on cream is the default ""luxury"" costume; it signals luxury-of-the-template, not the house. Provenance and material specificity carry premium, not Cormorant.","Canela or GT Sectra Display, Söhne for the quiet body;monochrome with one material close-up at scale, provenance copy that names the maker and the cloth;source the palette from the actual material — the leather's tan, the stone's grey — not template cream-and-black"
Healthcare,"DM Sans;Mulish;Nunito Sans","soft-sky-blue calm;rounded-everything;friendly humanist","sky-blue #38bdf8;mint #6ee7b7","Soft sky-blue + rounded everything is the reflex ""we're gentle"" health look — indistinguishable across clinics. Reassure with legible proof and warmth sourced from the actual care setting, not a pastel wash.","Newsreader as an accent-only serif, Hanken Grotesk body;legible proof-first layout with real credentials and a calm grid, warmth from real care-setting photography;take color from the actual clinical setting (scrubs teal that is THEIRS, a warm waiting-room wood) not a pastel sky-blue wash"
Mental health,"Quicksand;Nunito;Comfortaa","warm-minimal pastel;blob shapes;rounded humanist","lavender #c4b5fd;peach #fed7aa","Lavender/peach blobs are the wellness-app reflex; they can read as infantilizing. Emotional safety comes from honest language and quiet type, not a soft-blob gradient.","Tiempos Text, Söhne for labels;honest plain-spoken copy at a comfortable measure, quiet type and real breathing room, no blob illustration;ground in a single muted, adult hue drawn from the practice's own space — never lavender-peach infantilizing pastels"
Fitness,"Anton;Oswald;Bebas Neue","bold-condensed shouting caps;high-contrast black/orange;motion-driven","energetic-orange #f97316;volt #84cc16","Condensed all-caps + black/volt is the gym-poster reflex. Transformation proof and momentum sell; find energy in the specific discipline rather than the default volt.","Druk Wide used sparingly, Söhne for everything else;transformation proof and a real progression/momentum artifact as the focal moment, motion that tracks a rep or a streak;pull energy from the specific discipline's own gear or surface (a track's red, a mat's color), not default volt-on-black"
Education,"Poppins;Baloo 2;Fredoka","bright-playful friendly;rounded illustration;primary-color pop","sky-blue #3b82f6;sunny-yellow #facc15","Poppins + primary-color illustrations is the ed-tech reflex that reads juvenile. Show a credible learning path; let the subject matter, not a default cheerful blue, set the tone.","GT Sectra for headings, Hanken Grotesk body;a credible learning-path artifact (syllabus, real outcome) as the hero, structured clarity over cartoon illustration;let the subject matter set the tone — a chemistry course's lab palette, a music course's score ink — not a juvenile primary-blue"
