proprietary,analogue,category,match_notes,keywords
Söhne,Inter,Grotesque sans,"weight 300–400, tracking -0.01em; Inter ss01 for the single-storey a","helvetica-like,neutral,swiss,saas,product"
SF Pro,Geist,Neutral sans,"use Geist or Inter; SF Pro Display weight 600 ≈ Geist 600","apple,system,clean,native,ios"
Helvetica Now,Inter,Neutral sans,"Inter at the same weight; tighten tracking -0.01em on display","swiss,neutral,corporate,timeless"
Founders Grotesk,Space Grotesk,Grotesque sans,"Space Grotesk for display; for body use Inter — Space Grotesk is display-only","editorial,fashion,grotesque,confident"
GT America,Inter,Grotesque sans,"Inter (text) + a touch tighter tracking; for wide display weights use Archivo","modern,editorial,versatile,studio"
Circular,Manrope,Geometric sans,"Manrope or Poppins; Circular's even weight ≈ Manrope 500","friendly,geometric,startup,fintech,spotify"
Gilroy,Poppins,Geometric sans,"Poppins or Sora; Gilroy ExtraBold ≈ Poppins 700","geometric,bold,marketing,brand"
Graphik,Inter,Neutral grotesque,"Inter for text, Archivo for tighter display weights","neutral,editorial,corporate,clean"
Aktiv Grotesk,Inter,Grotesque sans,"Inter at matching weight; -0.01em on headings","swiss,neutral,corporate,ui"
Tiempos,Source Serif 4,Transitional serif,"Source Serif 4 or Lora; match optical size for body","editorial,serious,news,longform"
Canela,Fraunces,Display serif,"Fraunces (opsz high) or Playfair Display for the contrast","luxury,fashion,editorial,elegant,high-contrast"
GT Sectra,Fraunces,Contrast serif,"Fraunces with high optical size; Newsreader for body","editorial,literary,premium,contrast"
Suisse Int'l,Inter,Neutral sans,"Inter; for the tighter Suisse feel set tracking -0.015em","swiss,minimal,art,gallery,neutral"
Maison Neue,Inter,Neutral grotesque,"Inter (text) / Archivo (display); neutral, low personality","neutral,studio,agency,clean"
Monument Extended,Archivo Expanded,Expanded sans,"Archivo Expanded or Anton for the wide display look","bold,wide,sports,statement,brutalist"
NB International,Inter,Grotesque sans,"Inter; for mono pairing use JetBrains Mono","swiss,minimal,technical,neutral"
Calibre,Inter,Humanist sans,"Inter or Hanken Grotesk; Calibre is slightly humanist","approachable,product,saas,clean"
ABC Diatype,Inter,Grotesque sans,"Inter; tighten tracking on display; mono → ABC Diatype Mono ≈ JetBrains Mono","modern,studio,editorial,neutral"
