category,issue,keywords,platform,do,dont,code_good,code_bad,severity
Accessibility,Color contrast,"contrast,wcag,a11y,readable",All,Meet 4.5:1 for text (3:1 large/UI),Light gray text on white,#333 on white (7:1),#999 on white (2.8:1),critical
Accessibility,Focus visible,"focus,keyboard,outline,a11y",Web,Keep a visible focus ring,Remove outline with no replacement,focus:ring-2 focus:ring-blue-500,outline-none with no alternative,critical
Touch,Target size,"touch,tap,44,hit,mobile",Mobile,Min 44x44pt tap targets with spacing,Tiny icon-only taps crowded together,min-h-[44px] min-w-[44px],w-6 h-6 buttons,critical
Touch,Icon button labels,"icon,aria,label,accessibility",All,Give icon-only buttons an accessible name,Bare icon with no label,"aria-label=""Close menu""",<button><Icon/></button>,important
Performance,Image format,"image,webp,avif,lazy,performance",Web,Serve WebP/AVIF and lazy-load below fold,Ship full-size PNGs eagerly,srcset + loading='lazy',4000px image for 400px slot,important
Layout,Layout shift,"cls,shift,reserve,jank",Web,Reserve space for images/embeds (CLS<0.1),Inject content that pushes layout,aspect-ratio or fixed height,No dimensions on images,important
Animation,Reduced motion,"motion,reduced,prefers,a11y",Web,Honor prefers-reduced-motion,Force large motion on everyone,@media (prefers-reduced-motion: reduce),No motion query check,important
Animation,Timing,"duration,easing,150,300,snappy",All,UI transitions 150-300ms with easing,Slow 1s+ transitions on every action,transition-all duration-200,duration-1000,polish
Forms,Visible labels,"label,placeholder,form,field",All,Persistent visible labels per field,Placeholder-as-label only,"<label for=""email"">Email</label>","placeholder=""Email"" only",important
Forms,Error proximity,"error,validation,inline,form",All,Show errors next to the field,One generic error at the top,Error under each field,All errors at form top,polish
Navigation,Bottom nav count,"nav,bottom,tabs,mobile",Mobile,Keep bottom nav to <=5 items,Seven crammed tabs,<=5 tab items,7+ crammed tabs,polish
Feedback,Loading state,"loading,skeleton,spinner,feedback",All,Show skeletons/feedback for async work,Frozen UI with no signal,animate-pulse skeleton,Blank screen while loading,important
Accessibility,Color only,"color,icon,error,success,a11y",All,Pair color with icon or text,Red/green only for status,Red text + error icon,Red border only for error,important
Accessibility,Alt text,"alt,image,screenreader,a11y",All,Descriptive alt for meaningful images,Empty or missing alt,"alt=""Dog playing in park""","alt="""" on content image",important
