product_type,keywords,primary_style,secondary_styles,landing_pattern,key_considerations
SaaS,"saas,software,b2b,cloud,subscription",Flat + subtle depth,"Minimalism,Soft UI",Hero + Features + CTA,Clarity and CTA focus; balance modern feel with legibility
Fintech,"fintech,finance,banking,crypto,payments",Minimal authority,"Glassmorphism,Dark mode",Trust + Proof + CTA,"Trust signals, security cues, precise data display"
E-commerce,"ecommerce,shop,store,retail",Product-forward,"Minimalism,Bold",Grid + Product + Urgency,"Fast product scanning, strong CTAs, trust badges"
Healthcare,"health,medical,clinic,wellness",Calm accessible,"Minimalism,Soft UI",Hero + Reassurance + CTA,"WCAG AA+, calm palette, plain language"
Creative,"agency,portfolio,studio,creative",Editorial,"Brutalism,Maximalism",Showcase + Story,"Strong POV, asymmetry, let work breathe"
AI,"ai,ml,chatbot,assistant",AI-native minimal,"Dark mode,Glassmorphism",Interactive demo,"Conversational UI, streaming feedback, minimal chrome"
Education,"education,learning,course,edtech",Friendly structured,"Soft UI,Flat",Hero + Curriculum + CTA,"Approachable, progress affordances, readable"
Productivity,"productivity,tasks,notes,tool",Low-distraction,"Minimalism,Flat",Hero + Use-cases + CTA,"Focus, keyboard-first, restrained motion"
Financial Dashboard,"dashboard,finance,analytics,data,admin,panel",Dark data-dense,"Minimalism,Accessible",Dashboard-first,"High contrast, real-time updates, accuracy paramount"
Analytics Dashboard,"analytics,dashboard,data,metrics,reporting",Data-dense + heatmap,"Minimalism,Dark mode",Dashboard-first,"Clarity over aesthetics, color-coded data, filtering"
Portfolio,"portfolio,personal,showcase,work,resume",Motion + minimal,"Brutalism,Editorial",Storytelling,"Showcase work, let personality show, avoid templates"
Gaming,"game,gaming,esports,play,entertainment",3D + retro-futurism,"Motion,Bold",Feature showcase,"Immersion first, performance critical, bold type"
Government,"government,public,civic,service",Accessible direct,"Flat,Inclusive",Minimal + direct,"WCAG AAA, trust paramount, high contrast, no motion"
Social Media,"social,community,feed,network,sharing",Vibrant block,"Motion,Aurora",Feature showcase,"Engagement and retention; mind addictive-design ethics"
Cybersecurity,"cyber,security,threat,soc,defense",Cyberpunk dark,"Dark mode,Minimal",Trust + real-time,"Data density, threat visualization, dark mode default"
Developer Tool,"dev,developer,ide,cli,tooling",Dark minimal,"Flat,Bento grid",Minimal + docs,"Keyboard shortcuts, syntax highlighting, fast performance"
Real Estate,"realestate,property,housing,listings,rent",Glass + minimal,"Motion,3D",Hero + features,"High-quality imagery, virtual tours, map and agent profiles"
Travel,"travel,tourism,booking,flight,hotel,vacation",Aurora + motion,"Vibrant,Glassmorphism",Storytelling + hero,"Destination showcase, simple booking, mobile-first"
Music Streaming,"music,streaming,audio,playlist,artist",Dark vibrant,"Motion,Aurora",Feature showcase,"Solid audio player, playlists, personalization, waveforms"
Video Streaming,"video,streaming,ott,watch,movies",Dark + motion,"Glassmorphism,Vibrant",Hero + features,"Strong video player, discovery, watchlist, thumbnail-heavy"
Marketplace,"marketplace,p2p,listings,buyers,sellers",Vibrant + flat,"Micro-interactions,Trust",Showcase + proof,"Two-sided profiles, reviews, secure payment, trust badges"
Restaurant,"restaurant,food,menu,dining,reservation",Vibrant + motion,"Claymorphism,Flat",Hero + conversion,"Menu display, online ordering, food photography, hours"
Fitness,"fitness,gym,workout,exercise,training",Vibrant + dark,"Motion,Neumorphism",Feature showcase,"Progress tracking, workout plans, achievements, motivation"
News Media,"news,media,journalism,articles,publishing",Minimal flat,"Dark mode,Accessible",Hero + features,"Clear article layout, breaking news, search, fast loading"
Job Board,"jobs,recruitment,hiring,careers,listings",Flat minimal,"Vibrant,Accessible",Conversion + features,"Job search/filter, company profiles, application tracking"
Personal Finance,"budget,expense,money,savings,wallet,tracker",Glass + dark,"Minimalism,Flat",Interactive demo,"Category charts, budget bars, transactions, currency format"
Chat App,"chat,messaging,inbox,dm,realtime,conversation",Minimal micro,"Glassmorphism,Flat",Feature + demo,"Bubble UI, typing/read indicators, reactions, online status"
