style,category,keywords,best_for,avoid_for,effects,light_dark,a11y_notes,perf_notes
Minimalism,general,"whitespace,restraint,clarity,hierarchy",Content-first products that value calm focus,Marketing pages needing high energy or persuasion,"Generous spacing, sparse type scale, hairline dividers",light+dark,Sparse color can hide interactive affordances so keep visible focus and underlines for links,Very cheap to paint with few assets and small DOM
Swiss Modernism,editorial,"grid,sans-serif,asymmetry,objectivity",Information-dense layouts that need rigorous order,Whimsical or hand-crafted brand stories,"Strict modular grid, flush-left ragged type, strong baseline rhythm",light+dark,Tight tracking and small caption sizes can drop below legible thresholds,Lightweight as it leans on layout and type rather than imagery
Glassmorphism,landing,"blur,translucency,frost,depth",Hero panels and overlays over vivid backgrounds,Text-heavy admin screens where clarity matters,"Backdrop blur 12-24px, semi-transparent fills, thin light borders",light+dark,Translucent text over busy photos often fails contrast so add a solid scrim,Backdrop-filter blur is GPU heavy and can stutter when stacked or scrolled
Neumorphism,dashboard,"soft-shadow,extruded,monochrome,tactile",Calm control panels and toggle-rich settings,Anything requiring obvious clickability or strong contrast,"Dual inner and outer shadows, near-flat surfaces, low color variance",light+dark,Low-contrast extruded edges make buttons hard to find and fail WCAG easily,Multiple layered box-shadows raise paint cost on large grids
Brutalism,landing,"raw,unstyled,system-fonts,stark",Bold portfolios and statement microsites,Trust-sensitive flows like checkout or banking,"Visible borders, default link blue, abrupt spacing, no easing",light,Default styling can still trip contrast on colored backgrounds so verify pairs,Extremely light since it avoids custom assets and effects
Neubrutalism,landing,"hard-shadow,thick-border,clash,flat",Playful product launches and creator brands,Conservative enterprise audiences,"Solid offset drop shadows, 2-4px black borders, saturated blocks",light,Loud color clashes can strain readers so reserve clashing pairs for non-text,Cheap to render but heavy borders and shadows multiply on dense grids
Claymorphism,landing,"puffy,rounded,3d,friendly",Onboarding and consumer apps with a soft mood,Data-dense or technical interfaces,"Big radii, soft double shadows, inflated pastel surfaces",light+dark,Pastel-on-pastel can be low contrast so darken text and icons,Soft layered shadows and blurs add moderate paint overhead
Flat design,general,"2d,solid-color,icon,clean",Cross-platform UIs needing speed and consistency,Layouts that need clear depth cues for affordance,"No gradients or shadows, bold flat icons, crisp edges",light+dark,Flatness removes depth cues so signal interactivity with color states and labels,Among the cheapest to paint with tiny asset footprint
Material-like,dashboard,"elevation,ripple,fab,grid",Productivity apps wanting familiar interaction patterns,Brands wanting a distinctive non-generic identity,"Elevation shadows, ripple feedback, 150-300ms motion curves",light+dark,Elevation alone is a weak signal so pair with contrast and focus rings,Ripples and shadow layers cost more than flat but stay manageable
Dark mode OLED,dashboard,"black,contrast,glow,dim",Night-use tools and media or monitoring dashboards,Print-bound or heavily photographic content,"True black backgrounds, restrained accent glows, dim elevation",dark,Pure white on pure black can cause halation so prefer off-white text,Saves power on OLED but glows and blooms can add compositing work
Bento grid,landing,"modular,cards,compartment,asymmetry",Feature showcases and product overview pages,Linear long-form reading flows,"Rounded card tiles, varied spans, gentle hover lift",light+dark,Reading order can confuse screen readers so set a logical DOM sequence,Many cards with images need lazy loading to keep first paint fast
Editorial magazine,editorial,"serif,columns,pull-quote,drop-cap",Long-form stories and brand journalism,Utility dashboards and dense forms,"Multi-column flow, large display serifs, generous leading",light+dark,Thin serif weights at small sizes reduce legibility for low vision users,Web fonts and full-bleed imagery dominate weight so subset and compress
Aurora gradient mesh,landing,"gradient,glow,blend,vibrant",Energetic hero sections for tech and creative brands,Text-dense or accessibility-critical surfaces,"Multi-stop mesh gradients, slow drift animation, soft bloom",light+dark,Vivid moving gradients hurt text contrast so place copy on solid panels,Animated mesh gradients and filters are GPU-intensive on low-end devices
Retro-futurism,landing,"chrome,neon,grid,space-age",Nostalgic tech launches and entertainment sites,Formal corporate or medical contexts,"Chrome gradients, neon outlines, perspective grids, scanlines",dark,Neon-on-dark glow can smear small text so keep body copy plain,Glow and grid overlays add fill-rate cost on large viewports
Y2K,landing,"glossy,bubble,metallic,playful",Fashion and music microsites targeting nostalgia,Enterprise tools and accessibility-first apps,"Glossy bevels, bubble shapes, metallic gradients, sparkle accents",light+dark,Busy textures and low-contrast chrome reduce readability for many users,Decorative textures and many small assets inflate page weight
Cyberpunk HUD,dashboard,"neon,glitch,monospace,overlay",Gaming UIs and immersive data-viz demos,Calm consumer apps and long reading,"Glitch transitions, scanlines, neon edges, monospace readouts",dark,Neon clutter and glitch motion can trigger discomfort so offer reduced-motion,Glitch shaders and overlays are expensive and can drop frames
Vaporwave,landing,"pastel-neon,grid,statue,retro",Art and music projects with ironic nostalgia,Trust-sensitive or formal products,"Pink-cyan gradients, perspective grids, VHS noise, slow pans",dark,Saturated pastel pairs often fail contrast so isolate text on solid blocks,Noise textures and large gradient images add notable weight
Memphis,landing,"squiggle,confetti,bold-color,geometric",Youthful brands and event or campaign pages,Minimal professional or data tools,"Scattered geometric shapes, clashing colors, playful patterns",light,Busy patterns behind text wreck contrast so keep copy on clean areas,Many vector shapes are light but dense SVG can grow the DOM
Skeuomorphism,general,"texture,realistic,leather,stitch",Apps mimicking physical tools for familiarity,Modern minimal brands wanting speed,"Realistic textures, drop shadows, beveled controls, gloss",light,Decorative realism can obscure state changes so keep clear focus styles,Detailed textures and bitmaps are the heaviest visual approach
Kinetic typography,landing,"motion,type,reveal,timing",Storytelling intros and brand statement pages,Reference docs and dense dashboards,"Staggered text reveals, scroll-triggered timing, easing 200-500ms",light+dark,Moving text harms readers with vestibular issues so honor reduced-motion,Continuous text animation forces frequent layout and repaint
Parallax storytelling,landing,"scroll,depth,layers,narrative",Scrollytelling marketing and product tours,Task-focused apps and quick lookups,"Layered scroll speeds, pinned sections, depth transitions",light+dark,Scroll hijacking disorients keyboard and screen-reader users,Multiple scroll-bound layers cause heavy scroll-time repaint
Organic biophilic,landing,"nature,curves,earthy,soft",Wellness sustainability and lifestyle brands,Technical dense or high-density data UIs,"Flowing curves, earthy palettes, soft organic blobs, gentle motion",light+dark,Low-contrast earthy tones can fail text so darken foreground colors,Organic SVG shapes are light but layered imagery can add weight
